municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Vilvoorde,Vilvoorde,Vilvoorde,,,,,,,299,299
Wemmel,Wemmel,Wemmel,,,,,,,80,80
Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,,,,67,,,6,73
Zaventem,Zaventem,Nossegem,,,,2,,,74,76
Zaventem,Zaventem,Sint-Stevens-Woluwe,,,,,,,109,109
Zaventem,Zaventem,Sterrebeek,,,,35,,,5,40
Zaventem,Zaventem,Zaventem,,,,6,,,180,186
Zemst,Zemst,Elewijt,,31,,,,,,31
Zemst,Zemst,Eppegem,,34,,,,,6,40
Zemst,Zemst,Hofstade,,26,,,,,,26
Zemst,Zemst,Weerde,,16,,,,,,16
Zemst,Zemst,Zemst,,48,,,1,,,49
Zoutleeuw,Zoutleeuw,Budingen,,,,,18,,,18
Zoutleeuw,Zoutleeuw,Dormaal,,6,,,,,,6
Zoutleeuw,Zoutleeuw,Halle-Booienhoven,,12,,,,,,12
Zoutleeuw,Zoutleeuw,Helen-Bos,,4,,,,,,4
Zoutleeuw,Zoutleeuw,Zoutleeuw,,31,,,1,,,32
Alveringem,Alveringem,Alveringem,,,,,,,47,47
Alveringem,Alveringem,Beveren,,,,,,,19,19
Alveringem,Alveringem,Gijverinkhove,,,,,,,12,12
Alveringem,Alveringem,Hoogstade,,,,,,,10,10
Alveringem,Alveringem,Izenberge,,,,,,,7,7
Alveringem,Alveringem,Leisele,,,,,,,24,24
Alveringem,Alveringem,Stavele,,,,,,,16,16
Anzegem,Anzegem,Anzegem,,,,,,,69,69
Anzegem,Anzegem,Gijzelbrechtegem,,,,,,,3,3
Anzegem,Anzegem,Ingooigem,,,,,,,43,43
Anzegem,Anzegem,Kaster,,,,,,,11,11
Anzegem,Anzegem,Tiegem,,,,,,,30,30
Anzegem,Anzegem,Vichte,,,,8,,,66,74
Ardooie,Ardooie,Ardooie,,,,,,,138,138
Ardooie,Ardooie,Koolskamp,,,,,,,42,42
Avelgem,Avelgem,Avelgem,,,,,,,78,78
Avelgem,Avelgem,Bossuit,,,,,,,7,7
Avelgem,Avelgem,Kerkhove,,,,,,,18,18
Avelgem,Avelgem,Outrijve,,,,,,,11,11
Avelgem,Avelgem,Waarmaarde,,,,,,,8,8
Beernem,Beernem,Beernem,,,,,91,,4,95
Beernem,Beernem,Oedelem,,,,,,,68,68
Beernem,Beernem,Sint-Joris,,,,,9,,8,17
