municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Malle,Malle,Westmalle,74,,,,,,,74
Mechelen,Mechelen,Heffen,,,,,20,,,20
Mechelen,Mechelen,Hombeek,,3,,,,,21,24
Mechelen,Mechelen,Leest,,,,,21,,2,23
Mechelen,Mechelen,Mechelen,,124,,,6,,449,579
Mechelen,Mechelen,Muizen,,30,,,,,3,33
Mechelen,Mechelen,Walem,,,,,,,13,13
Meerhout,Meerhout,Meerhout,,,,,,,99,99
Merksplas,Merksplas,Merksplas,,,,,,,112,112
Mol,Mol,Mol,,,,,,,302,302
Mortsel,Mortsel,Mortsel,,,,,,,96,96
Niel,Niel,Niel,,,,,,,47,47
Nijlen,Nijlen,Bevel,,,15,,,,,15
Nijlen,Nijlen,Kessel,,,33,,,,,33
Nijlen,Nijlen,Nijlen,,,59,,,,,59
Olen,Olen,Olen,,,,,,,146,146
